Date	OR	Odor	Concentration	NormalizedLuc
81209	1050	1317	0	0.84891
81209	1064	1317	0	0.56713
81209	1073	1317	0	1.5234
81209	1064	1315	0	0.57569
81209	1112	1315	0	0.82244
81209	1078	1315	0	1.2007
81209	1067	1324	0	3.9372
81209	1033	1324	0	0.67759
81209	1064	1324	0	0.41128
81209	1073	1324	0	1.1021
81209	1064	1322	0	0.69396
81209	1082	1322	0	1.2
81209	1090	1322	0	0.71963
81209	1101	1322	0	1.0884
81209	1067	1324	0	2.5745
81209	1033	1324	0	0.44081
81209	1064	1324	0	0.25014
81209	1073	1324	0	0.59333
81209	1064	1322	0	0.42831
81209	1082	1322	0	0.27682
81209	1090	1322	0	0.42812
81209	1101	1322	0	0.30692
101409	1527	1314	0	1.0597
101409	1545	1314	0	0.73171
101409	1522	1314	0	0.88256
101409	1491	1314	0	0.69892
101409	1520	1314	0	0.85783
101409	1513	1314	0	0.85714
101409	1475	1314	0	0.79259
101409	11022	1314	0	1.2444
101409	1462	1324	0	1.118
101409	1465	1324	0	0.89124
101409	1545	1324	0	0.88947
101409	1461	1324	0	1.0331
101409	1522	1324	0	0.93208
101409	1530	1324	0	0.99408
101409	1466	1324	0	1.3208
101409	11022	1324	0	2.0643
101409	1536	1319	0	9.8628
101409	1545	1319	0	0.84848
101409	1522	1319	0	1.0534
101409	1576	1319	0	0.62202
101409	1462	1319	0	0.81776
101409	1530	1319	0	0.82618
101409	1503	1321	0	1.0663
101409	1530	1321	0	0.77801
101409	1527	1315	0	0.27448
101409	1522	1315	0	1.2841
101409	1545	1315	0	0.60078
101409	1546	1315	0	1.1583
101409	1527	1318	0	0.42424
101409	1534	1318	0	1.0024
101409	1545	1320	0	1.7517
101409	1513	1320	0	1.6101
101409	1491	1322	0	0.93434
101409	1534	1322	0	1.5267
101409	1491	1323	0	0.65957
101409	1519	1323	0	0.85017
101409	1545	1316	0	1.1466
101409	1529	1316	0	0.96767
101409	1527	1316	0	1.6264
101409	1522	1316	0	1.1333
101409	1536	1316	0	9.682
101409	1530	1316	0	1.2063
101409	1545	1317	0	0.99561
101409	1527	1317	0	1.4869
101409	1534	1317	0	1.3683
101409	1529	1317	0	1.0434
101409	1491	1317	0	1.0559
101709	1387	1316	0	0.14948
101709	1048	1316	0	0.41805
101709	1380	1316	0	0.16784
101709	1445	1316	0	0.1289
101709	1376	1316	0	0.14436
101709	1377	1316	0	0.16808
101709	1368	1316	0	0.10697
101709	1367	1316	0	0.10617
101709	1385	1324	0	0.12944
101709	1446	1324	0	0.087725
101709	1424	1324	0	0.090805
101709	1371	1324	0	0.12402
101709	1404	1324	0	0.24531
101709	1416	1324	0	0.1224
101709	1442	1324	0	0.11458
101709	1447	1324	0	0.099382
101709	1367	1314	0	0.10216
101709	1385	1314	0	0.089535
101709	1366	1314	0	0.12345
101709	1364	1314	0	0.10085
101709	1376	1314	0	0.19015
101709	1383	1314	0	0.13106
101709	1377	1314	0	0.19295
101709	1048	1319	0	0.46067
101709	1493	1315	0	0.17294
101709	1489	1315	0	0.14414
101709	1179	1315	0	0.13786
101709	1138	1315	0	0.1182
101709	1536	1318	0	1.223
101709	1493	1318	0	0.15477
101709	1546	1318	0	0.12708
101709	1485	1318	0	0.10592
101709	1507	1321	0	0.11065
101709	1222	1321	0	0.067925
101709	1138	1321	0	0.1106
101709	1196	1321	0	0.11996
101709	1547	1322	0	0.22397
101709	1027	1322	0	0.094759
101709	1062	1322	0	0.11881
101709	1029	1322	0	0.11275
101709	1516	1323	0	0.11808
101709	1481	1323	0	0.23274
101709	1476	1323	0	0.14775
101709	1466	1323	0	0.087623
101709	1502	1317	0	0.81761
101709	1536	1317	0	1.0408
101709	1376	1320	0	0.27933
101909	1530	1281	0	0.55517
101909	1529	1281	0	0.54398
101909	1489	1281	0	0.38328
101909	1536	1281	0	1.8145
101909	1516	1281	0	0.5368
101909	1465	1281	0	0.70043
101909	1505	1281	0	0.28047
101909	11022	1023	0	0.53174
101909	1530	1283	0	0.47023
101909	1461	1283	0	0.80645
101909	1516	1283	0	0.7338
101909	1501	1283	0	0.54468
101909	1499	1283	0	0.44144
101909	1521	1283	0	0.45326
101909	1535	1283	0	0.60808
101909	1530	1284	0	0.48802
101909	1530	1291	0	0.51683
101909	1529	1291	0	0.6049
101909	1536	1291	0	1.92
101909	1528	1291	0	0.63357
101909	1531	1291	0	0.4816
101909	1505	1291	0	0.61562
101909	1466	1291	0	0.95297
101909	11022	1023	0	0.72731
101909	1530	1289	0	0.69852
101909	1506	1289	0	0.34026
101909	1545	1289	0	0.62837
101909	1539	1289	0	1.2078
101909	1461	1289	0	1.0039
101909	1515	1289	0	0.80025
101909	1530	1290	0	0.63487
101909	1544	1290	0	0.54319
101909	1534	1288	0	0.78515
101909	1535	1288	0	0.7212
101909	1532	1288	0	3.4548
101909	1527	1288	0	0.7757
101909	1533	1288	0	1.8035
101909	1502	1287	0	2.0283
101909	1501	1287	0	0.99861
101909	1530	1287	0	0.66381
101909	1530	1282	0	0.62528
101909	1529	1282	0	0.67862
101909	1536	1282	0	1.5378
101909	1528	1282	0	0.47548
101909	1531	1282	0	0.48339
101909	1489	1286	0	0.5
101909	1537	1286	0	0.56339
102409	1052	1295	0	0.4122
102409	1046	1295	0	0.47929
102409	1069	1295	0	1.2863
102409	1034	1295	0	0.58419
102409	1063	1295	0	0.32623
102409	1031	1295	0	0.48722
102409	1088	1295	0	0.43543
102409	1055	1295	0	0.33943
102409	1062	1297	0	0.51399
102409	1085	1297	0	0.71909
102409	1065	1297	0	0.52573
102409	1046	1297	0	0.46327
102409	1088	1297	0	0.5356
